"annualEmissionsPerCapita","annualEmissions","id","name"
"2.3416662","237178","165","Saint Vincent and the Grenadines"
"1.1855699","256830","166","Samoa"
"0.7198723","166171","167","Sao Tome and Principe"
"22.132036","736205300","168","Saudi Arabia"
"0.6583115","11900644","169","Senegal"
"6.253774","42357788","170","Serbia"
"4.3078337","551015","171","Seychelles"
"0.14556001","1231506","172","Sierra Leone"
"8.507941","49252784","173","Singapore"
"16.216665","693003","174","Sint Maarten (Dutch part)"
"5.5706987","30739160","175","Slovakia"
"5.347735","11328390","176","Slovenia"
"0.37855327","302829","177","Solomon Islands"
"0.03037349","557614","178","Somalia"
"6.3578267","401893100","179","South Africa"
"11.158091","577416640","180","South Korea"
"0.13763057","1580456","181","South Sudan"
"4.6255174","221615650","182","Spain"
"0.88446397","20317522","183","Sri Lanka"
"0.39968732","20001454","184","Sudan"
"4.2100472","2647446","185","Suriname"
"3.464577","36556280","186","Sweden"
"3.6905727","32737300","187","Switzerland"
"1.0808959","25503272","188","Syria"
"11.200046","261152590","189","Taiwan"
"0.8714852","9054525","190","Tajikistan"
"0.27119046","18066046","191","Tanzania"
"3.6873055","264388640","192","Thailand"
"0.28159434","2620035","193","Togo"
"1.9062879","199331","194","Tonga"
"22.834675","34317936","195","Trinidad and Tobago"
"2.6878552","32792874","196","Tunisia"
"4.9510155","432077340","197","Turkey"
"8.603915","63362624","198","Turkmenistan"
"8.026466","370590","199","Turks and Caicos Islands"
"1.174908","11500","200","Tuvalu"
"0.1153731","5613657","201","Uganda"
"3.6164997","136460590","202","Ukraine"
"21.554457","229383650","203","United Arab Emirates"
"4.4428277","305146340","204","United Kingdom"
"14.299027","4911391000","205","United States"
"2.3216877","7865945","206","Uruguay"
"3.4995937","124768440","207","Uzbekistan"
"0.7059308","226164","208","Vanuatu"
"3.5182343","99568900","209","Venezuela"
"3.335515","334726080","210","Vietnam"
"2.6994717","30666","211","Wallis and Futuna"
"0.2547525","10034892","212","Yemen"
"0.37391192","7748922","213","Zambia"
"0.68320066","11164030","214","Zimbabwe"
